cleaned_review,rude
this is the worst mcdonalds i have ever seen î¾the service was terrible and the employees were either lazy or incompetent i will never return to this establishment,1
i had the mccafe mocha and must say that it was better than drinking sand and salt water thats about ittoo sweet and i couldnt even taste the coffee over the other weird flavors going on in this drinkstick with the starbucks mocha folks î¾trust me on this one,0
ghetto went in yesterday just to get a soda and could not even park in handicap parking spot because their delivery truck was blocking all spaces î¾finally made it inside and it was about  customers to one cashier the shift manager made the comment that the car that was waiting needed to be pulled up because they are holding up her line î¾now how is that when they are waiting on their orderhell i was thinking you are holding up the customer and the others waiting anyway finally placed order and was told  which i paid exact price here is where its sadthe cashier did not ring up the soda so therefore i did not get a receipt i know that she planned to pocket the money which is sad and bad because eventually that cost will get passed off to customers through price increases i will not return here because i dont like to feel like i am in someones hood and i hate a thief maybe i will call to tell them but then again they probably dont care or maybe even steal themselves î¾plus i do not eat fast food anyway so no need to waste precious minutes,0
i visited mcdonalds on dec   at  i bought  cheese burgers  large fries and  orders of pies î¾they charged me for  fries so i went back into store and told the cashier she denied i said î¾ i ordered  fries î¾then manager came over and said whats the problem i told him and he said looked into the bag grabbed the xtra fries and lterally threw them into the waste bucket by the drive tru from the cashier  î¾then reached into cash register and gave me change for the fries î¾then i said thank you and he said ok boss and i left   then called mcdonalds people via the nimber on the website after i ate i told then i was going to wait to yelp after i heard from mcdonalds î¾still no call or email î¾as a side note tom n î¾the otther yelper is right they are very rude there and seem bothered to help you and not at all nice to the kids î¾the play room is sticky and the video games in ther always cause an altercation with kids and parents î¾the only reason i gave  stars was because the fries were hot and the sweet potatoe fries were good and warm,1
i usually hit the drive thru once or twice a week for breakfast a lot of times the forget to include the hash brown if i order a meal if i order hot cakes they usually forget either butter or utinsils prompting me to have to go inside the food is also very inconsistent,0
what a jokedont do take out as you will not get anything that you ordered we prefers and paid for items only to get home with  of the order accurate ive been there numerous times and sadly the same thing happens its my fault because i should learndoes anyone know the owneri cant believe that he would like this comment woodstock macdonalds is not the place that ray crock invented save yourself the frustration and waste if money dont go thereive learned now,0
i wish i can give zero stars freezing cold reheated soggy fries and twice fried chewy nuggets  straight to my trash can,0
i agree with most reviewers on this one staff is always rude and annoyed that youre there i travel weekly to atlanta hartsfield airport and this mcdonalds never has fresh hot coffee at  am always have to wait while they brew coffee wth,1
i dont think this location deserves even one star î¾this is the filthiest mcdonalds i have ever visited   have been to hundreds of different mcdonalds in numerous states as well as  foreign countries i went to this location on  for breakfast î¾the first thing i noticed was that the floor was sticky a previous reviewer made a similar comment about the play area when i noticed this i said to myself this isnt right î¾then when i looked for a place to sit i spotted all the debris in the seat crevices and the floor there were also flies in the dining area which i had to repeatedly brush off my food î¾as for the food it seemed ok except this was the first time ever that i was given cold syrup for my hotcakes at a mcdonalds,0
this is one rude mcdonalds the food takes longer to prepare than any other macdonalds i have ever been to the people working there always seem annoyed like you are bothering them just by being there i avoid this mc ds whenever i can,1
the managers at this mcdonalds are awesome but some of the workers are lazy î¾overall an average mcdonalds î¾after visiting it and some other once i realized that this one is really average î¾the only thing good about this one is that the management is awesome and its across the street from my house so i can sit around and study till midnight and no one bothers me,0
it had been a while since i had stopped at this particular one î¾they have done a total remodel and it looks fairly fresh î¾stopped by about î¾pm and went through drive thru   thought id try a new mcwrap î¾got a fry and a spicy chick along with that î¾ i was asked to pull up after sitting at the window for a few minutes and they would bring me î¾my order î¾that is fine except about  minutes later im still waiting î¾so i go to check what is going on and end up waiting another  minutes î¾ it appeared i wasnt the only one that had a long wait in drive thru as well î¾ mcwrap  i was disappointed î¾looked like a wrap that had grilled chicken sprinkle with some mixed greens then had sweet and sour sauce dumped in it,0
disorganized î¾didnt even get to order employees were hanging out with friends out front,1
this has got to be one of the busiest mcdonalds in the metro area  if not the southeast  and they are fairly efficient despite being so busy all the timeyou can come by just about any time of the day and find the line of cars for the drivethru wrapped around the buildingits generally more efficient to go into the building and place your order than wait in the line of cars spewing smog and since the building is open  hours now that should make it easy to get your mcfixgood job clairmont mcdonalds,0
this mcdonalds is horrible they are also down the street from my house you might just want to go to the next mcdonalds down the street less than half a mile maybe its brand new and just opened the reviews here speak for themselves no customer service whatsoever they always rush you at drivethru and never get the meal correct because they are all ignorant fucks who cant speak proper english or dont even know english they dont even give you time to respond on an order completion ive dined inside and it was fine however it was dirty around me on most occasions but  of the time i eat there my meal is always incorrect always its ridiculous i found out its an ongoing problem especially at this store the fries are always pre sorted and they are a hot or miss they are really good or really bad which is really annoying the sandwich is the same sometimes they put fresh dripping meat on the bun and it makes it soggy which is disgusting most of the times the sandwich is just plain incorrect ive had to call corporate about the poor customer service ive had with employees and several managers at this location as well as the constant issue of my order being messed up which is very inconvenient in drivethru im telling you go to the next mcdonalds the employees here hate their job and are idiots,1
nuts and bolts stopped by on my way into work to grab breakfast after getting some sams club gaspros convenient location for me right off i fast servicecons the sausage biscuit i had was subpar î¾the biscuit was overcooked and hard î¾the sausage was not cooked enough î¾only gave me one jelly packet î¾most places give me at least two î¾forgot to give me a straw for my sweet tea î¾sweet tea was not sweet enough î¾gave me no napkins î¾neutral î¾when i was in line paying a woman pulled up next to me to complain to the cashier that something was wrong with her order î¾so she jumped in front of me to get her order fixed î¾neutral about this since i dont have detailstake home i will try them one more time  f they fail again i will just pass,1
the ice cream machine is always down after  pm if you want a hot fudge sundae dont even bother,0
regular mcdonalds close to the highway which can be good and bad,0
stopped here on the way downtown this morning to get a yogurt parfait î¾these snakes gave me dairy products that had an expired use by sticker and i didnt even notice until i was halfway to downtown gross guys î¾theres no point in putting freshness dates on your food if the employees cant or wont read,0
i highly recommend this mcdonaldsif and only if you are trapped at northside hospital are ravenously hungry and have absolutely no other option î¾eating at this mcdonalds is slightly better than eating out of a vending machine or dumpster,0
toxic dump in food quality and employee humanitywork efforttypically i do not eat mcdonalds food yet similar to the experience of others trapped at northside hospital there is no other option if you are hungry outside of the hospital cafeteria hours of operation due to a relatives stay and my visitsovernights for  weeks i too found myself trapped and therefore forced to buy at mcdonalds mostly my visits were for coffee or ice cream sundaes however last night for the first time i ordered food grilled chicken salad i returned it  the meat smelled badly this did not surprise me and only enforced my resolve to avoid chain food restaurantswhat did surprise me and absolutely shocked me was the customer service offered by employees  how in the world can you be an employee here and not for one minute or even a second acknowledge the obvious fact that you work inside a hospital then consider what that means for each and every person that approaches your counter to order how you do not see them in fact that you easily dismiss them is beyond my comprehension to understand how you lost your sense of humanity in all honestly should cause you to pause and contemplate this  are you not aware that you are reflecting how you measure within you your own sense of dignitywithin my and familyfriends of patient at northside hospital for the past  weeks each and every time ithey had to place an order i they waswere subjected to mcdonalds toxic business model in food which now has transferred we learned into their employees not once was i thanked for giving my order not once was i thanked when delivered my order yet at every visit i waited and witnessed employee behaviors that were readily displayed and relayed in body language effort toward actual work and obvious attitude not only toward me but guests in front of me god forbid i happened to have question in reference to the menu employee response blank stare shrug looking behind them at menu only to turn back around with a blank stare andor shrug again î¾god forbid on separate occasions i happened to ask for a spoonnapkinstraw last night i happened to ask for my drink please after receiving my salad and waiting for longer than normal yikes you think i had asked him to draw bloodone more detail regardless if i arrive at am am or between  pm   pm this mcdonalds is always consistently filthy not just dirty but filthycan anyone lift a broom to sweep up the garbage in the servicecooking area also in the dining roomcan anyone clean the crud surrounding the plastic display case for cookies already its been  weeks and that crud is still smeared dried just grosswashdisinfect the countertops payment pads straw holders everywhere spills occur including areas customers touch every hour get it every single hour get a cleaning only employee this employee will do nothing but be the ocd employee you need just stop this atrociously dirty  disgusting feeding trough you call a restaurant you should be ashamedînorthside hospital  î¾you are responsible for allowing this restaurant to wallow within your walls how many more years will you ignore not only the unhealthy food options mcdonalds supplies but to continue to allow a daily dose of deliberate and diligent unhealthy negative and put upon attitudes from employees to be delivered to family friends and employees that are there only because they care and are there for your patients how this does not cause you to react and act is beyond mein my world with so many options available this place would be gone  like today certainly not any longer than tomorrowthis toxic waste site is dumping daily doses of negativity inhumanity its seeping and reverberating within the walls of this hospital i know you feel it,1
i know i shouldnt need to ask but experience has proven its a good i idea tonight i forgot î¾to ask them to make sure the coffee wasnt old and after i drove any i checked and it was not only old it was cold,0
i dont often eat at mcdonalds or ever in fact i dont have much expectation for healthy foods but the one thing i do expect is decent service and fast food this branch for neither food was really slow to come out and i had to ask thrice for the coffee that i ordered shocking service delivery,0
little bit more expensive than other mickey dees beggars cant be choosy slow service and its packed its open  and the workers are pretty nice didnt have many other choices and this filled the need,0
this is the mcdonalds inside the northside hospitalfor being the only option to get something to eat evidently they dont have a proper cafeteria like most hospitals do it had to docomplete disorganization are the only two decent words i can come up for this place î¾there was a huge rush of people oddly enough that evening and the staff had no clue what to do î¾orders were wrong missing items and the wait time was unbearable,0
the worst mcdonalds ever complete chaos the prices are higher than the average and they dont have all of the regular items like lattes or fraps the staff seems to be uninterested in taking or completing your order it is as if they are aware that you are pretty much at their mercy,0
a captive audience of transient visitors and exhausted staff are the only way this mcdonalds which is basically the only food option at northside hospital could possibly stay in business,0
and still french fry champthe burger taste not sop much but this location fast and friendly,0
beware i saw the manager filling orders for drivethru customers using bare hands  no gloves or utensils to pack fries  and this is the weirdest thing ever she was fingering plastic cup lids dont know what else to call it she poked her finger through the plastic cup lids in the slit made for straws before inserting straws what the hell for imagine a finger no gloves super long nails painted and this being inserted into every cup lid before inserting the straw why did she need to expose customers to her nails and the shit and germs nails looked filthy underneath she was using her nails as a tool the straw can be used to go through the straw slit no need for a finger nail filthy i saw this going on inside while the poor folks in drivethru didnt see this and the cashier had a bad cold and was wiping his runny nose all over with the back of his hand what can you expect if the manager herself is filthy and polluting the food who knows where her handa been,1
worst mc donalds in all of atlanta  min stop every time even if they have no customers straight ridiculous i live across the street and refuse to stop there nope i will never give anyone my money who to a location doesnt value and appreciate it same manager every time common trend called regional pretended to care either way only thing they will give you is cold food after a  min wait a major headache and crappy service skip this stop,0
its good hr,0
what the freaknik is thisthere are  cars in the drive thru at am  s everybody going to mickey dees todayyou can guess that volumes of business like this means that someones going to get their order wrongand today it was methey put cheese on my steak biscuit but i requested a steak and egg bagel i had to request a straw for my large soda î¾guess i should have checked my sandwich while i looked for the missing strawi expect much better from a mickey dees,0
ive enjoyed a couple eggwhite delights here but not much else i usually really like mcdonalds salads as a quick relatively healthy option on a tight budget but the salads ive had at this particular restaurant has been just kind of gross,0
sometimes you just need a mickey ds fix usually for me anyway that sometime is very late at night  er early in the morning depending on how you want to slice ithour drive thru  check fries still made fresh at all hours  check check a double cheeseburger for a steal  and a coke to go with check yep all your drivethru goodybadness waiting for youyum,0
my order was fresh and prepared correctly they were friendly and moved the drivethru line quickly during the lunch rush very good,0
the worst mcdonalds franchise ive visited   fired off complaints to mcdonalds corp î¾thinking they might want something for their file to rid themselves of this lazy franchisee  all i got was a lame apology months later w a coupon for more food  t was well after the dinner rush every table was dirty floors so sticky i almost walked outta my shoes surly staff just plain dirty,1
ive gone to this mcdonalds several times and theyve gotten my order completely wrong i go there before work around  so im very hungry and i order a bacon egg and cheese biscuit once i get to work i find what is in my bag is actually an egg mcmuffini absolutely hate thoseso of course its too late for me to drive back and get my correct order i dont expect this to happen and its a elveru bisy mcdonalds so i dont stop at the srive thru to check my bagid just like to sayif this happened once in a blue moonthats fine mistakes happenbut not this many times over it i also notice that while im giving my order at the drive thruthe person taking it is either never paying attention or rude i wish this would change this mcdonalds seems to be constantly packed with people in the morning because its on a very high traffic road so they need to reevaluate their customer service,1
this is the most disgusting mcdonalds on the planet î¾doubt me î¾go into this nauseating cesspool and find out for yourself   was shocked because it was in a very nice area and has a playground  t is by far the nastiest mcdonalds i have ever been into,0
i gotta wake my ass up at six am every day of this week and drag myself up to vascalinas yeah im doing the drywall up there at the new mcdonalds  office space so what a difference a complete overhaul makes î¾this location was recently leveled and rebuilt  and they did a complete   and when i say that the building was even rotated by  degreesso this is in an area where most of the streets around it are one way so it can be confusing to get in and out of  and the previous drivethru began and ended in different places î¾now they redesigned the place so that it makes more sense and the flow works even better than before  and the previous location was there for  years î¾wowthe new one is sleek clean modern and beautiful î¾the drivethru staff was super friendly i was buying a sprite for heavens sake and both the young lady who took my money and the one who handed me my drink said we hope to see you back here again soon î¾thats great service personable and i would be happy to return not that i do mcds very often î¾but im more apt to come to this one than any other,0
this is by far the worse mcdonalds ive ever been too my bf wanted their chicken nuggets because it was  for  pieces we got there and placed an order for  pieces it took us  minutes to get it and he was charged twice the amount we were told by the cashier that the manager would fix this problem and he never did until we had to ask ourselves overall it took a long time to get our food we received the wrong sauces and it was an overall poor experience i will not return to this location,0
food is what you would expect from mcdonalds but the management and staff could use some coaching in customer service   come to this restaurant frequently in the mornings  the manager always seems to have a surly attitude î¾he acts as though he is doing you a big favor to wait on you and even take your money,1
went to order a meal via drive through and there was a live roach not waterbug on the window crawling in mid day i showed it to the gentleman that was collecting my payment and he never noticed the roach there i canceled my order immediately and drove away,0
before a morning round of golf i needed a quick breakfast  t had to be quick because i needed to make my tee time  t had to be big because i needed energy for the course   stopped into this mickey ds and right behind the register i saw big breakfast with hotcakes î¾sounded good to mejust seconds after swiping my credit card i was handed a tray with three hotcakes mcdonalds pancakes scrambled eggs a sausage patty a biscuit and a mcdonalds hash brown î¾oh yeah and two containers each of syrup and butter î¾all this for less than five bucks î¾now thats what i call fast food  ts fast and its cheap î¾this is why america has an obesity problemnearing the end of my meal i started to realize that it was a lot of food   can eat a lot and i could have probably done ok without the extra hash brown or biscuit i was also rushing î¾for three pancakes i only needed one container of syrup   like their butter  ts very wispy î¾everything was good and tasted consistent with what youd expect of mcdonalds î¾out of curiosity i went to mcdonalds web site to see how many calories was in this meal ,0
my wife and i have been to this mcdonalds about  times since the rebuild there is a whole new staff of people working there in the  visits we have yet to get a complete order i went inside the restaurant this evening in hopes of eliminating the issue we had been having i ordered  quarter pounders  apple pies and  hamburger i was given my order to go missing the  apple pies and hamburger beware if you go to this mcdonalds and check your order,0
typical mcdonalds restaurant located at powers ferry and new northside on the north end of the perimeter i have always avoided this location due to the fact that im not really a fan of mcdonalds in general but the other morning on my way to work i was craving some breakfast and only had time to pull into a drivethru and grab a quick bite to go since mcdonalds is the only place with a drivethru on my way to work i stopped by here to grab their special  bacon egg  cheese biscuits for  the food was ok just tasted like you would expect mcdonalds food to taste the service was pretty good at the drivethru they were friendly enough but what really gets me is how lazy has america become that the drivethru welcome and what would you like to order has to be automated at mcdonalds,0
itll make ya fat,0
on my way to curry honda for my scheduled maintenance appointment i went to the drivethru of this mcdonalds since it was so conveniently located almost adjacent to the honda dealership  t was around  pm on a saturday afternoon and there were probably only two cars in front of me so i thought id be in and out of there quickly î¾what i thought would be a quick drivethru took over ten minutes  m not sure what the hold up was but perhaps one or both of the cars in front of me got a large order î¾all i ordered was a spicy mcchicken sandwich small fries and a cup of ice wateragain curry honda is located super close to the mcdonalds so the food should have still been hot or at least warm when i got there î¾however when i sat down to eat my food in the waiting room i noticed the sandwich and fries were barely warm and the ice in my water was almost completely melted   guess the food had been cooked and sitting out for a while and they must keep cups of ice water ready to hand out to customers î¾boo  t was my first time trying the spicy mcchicken sandwich and i thought it was decent  t has a very slight kick of spice and is at least a little more interesting than the plain ol mcchicken sandwichoverall this mcdonalds gets  stars for being ok î¾yes service could have been quicker and the food should have been served hotter but this is a mcdonalds and at least the employees were friendly   may return to this mcdonalds if im on my way to curry honda and didnt have time to grab food elsewhere but it wouldnt be my top choice for fast food in the areareview  of ,0
just sat at drive thru several minutes no one is answering i can see employees walking around and it is  am and they should be open i wonder if this franchises owner is aware that he is losing business due to this i bet they do and dont care,0
holy crap dudes this is the fastest mcdonalds in atlanta   placed a special order during rush hour two egg mcmuffins with no canadian bacon and by the time i reached the pickup window someone was already walking my order to the windowand they even got it just the way i like it  no eggshells,0
i purchased a specialty coffee in the drive through but soon after i pulled out and away i realized i had been given a black coffee for the price of  mistakes happen so i kept my receipt and went back exactly a week later within the hour since i was making the same trip i went inside out of respect to show my face that i wasnt trying to scam them and the manager was working the register i told him what happened and that id like the specialty coffee i originally ordered he pointed that it had been a week since the original purchase and that he needed proof i wasnt lying about my incorrect order mind you at am  people were all waiting around for their order which shows slow and poor service i didnt argue and i walked away leaving my receipt on the counter i was simply asking for a coffee not even an entire meal i dont post about these sort of things but this time was different the manager could have easily offered a variety of resolutions but all he said was no im sorry well im sorry but ive never been so dissatisfied with customer service and let alone management of a restaurant please stay away from this location for the sake of your pockets and your sanity,0
the last  times we been to this mcdonalds they screw up the order at the drive thru and walk in the guy with the afro dont care i think hes a manager,0
ive generally had good service here but this morning at the drivethru was the pits   was initially  cars back from ordering and it seriously took me about  minutes to get my food î¾when i was ordering i had to repeat it four times very slowly and they still got my drink size wrong î¾when i got it my food was great but the visit was very painful overall   hope this visit was a fluke  ,0
hot fries i like,0
the customer service was horrible î¾they seemed angry to work here and they would get upset if you ask for more ketchup or condiments also the kids play area was filthy it had old dirty food on the floor and it was î¾full of lint stay away from this location,1
customer service is well below par here i placed my order through the intercom and was told that id have to pay in separate transactions if i were to use more than  coupon i expected that and was fine with it up until i got to the window in which one of the girls working the cashier had a problem with me using the coupons and i quote mentioned i dont give a d and a f what she wants i never make it a goal to be difficult to other people and i find it very rude let alone unnecessary that i received this treatment it is part of your jobs duties to simply put in a customers order if you dont like your job you have no business being there and there are plenty of job seekers out there who would be more deserving of your position to top it off after i left the restaurant i opened my bag to find out that i didnt receive everything i ordered and paid for,1
food is good but whats with all the flies and nats always in the air  ve mentoned this to management before but it seems like nothing has changed î¾ im going to the mcdonalds on hudson bridge from now on,0
fruit flies anyone there is a huge fruit fly infestation here i have been here twice in  months and the problem still exists,0
best mcdonalds ice cream is here,0
this is a busy mcdonalds at all times even late at night the drive thru seems to be where they are doing most of their business when i visit the area i have never had a problem out of service here as i am one those who use the drive thru too my order is always right its within walking distance of several hotels î¾   do not know anything about the dining area since i always use the drive thru customer service has been great as they always take care of mewhen i go to mcdonalds i get either the big mac meal or the quarter pounder meal big macs are popular because of the secret tangy orange sauce they put on them their quarter pounders are just like eating a moist cheese burger its all hood here,0
i would honestly not normally take the time to review a mcdonalds location since im only really a fan of their breakfast but this place has some serious issues apparently the difference between sausage and egg and sausage egg and cheese is not obviousimportant to whoever they have bagging orders even though they are two distinctly different items on their menu i have been down the road at least three times now only to find that theyve given me the wrong biscuit  even when the correct one is on my receipt not to mention the sweet tea has often tasted like hairspray i have never experienced such consistently poor service from a single fast food location,0
came here for a quick to go lunch first my cheeseburgers were not right i had requested no onions and they were covered with them then second the fries were so mushy and not fresh i was sorely disappointed,0
the first time i went here they smothered my burger with mustard and ketchup to where it was dripping on me and the past two times i have been here the fries are old and dark and they put like one peice of bacon on my burger they offered me free fries tomorrow ha horrible place to eat,0
the worst mcds ive ever been to tried to get a quick snack during our long drive and it was the worst decision the dual lane drive through is anything but fast one car in front of me but somehow the other lane was the only one moving some  odd minutes later we finally ordered one of the cars in front of me obviously knew somebody in the place and just kept talking at the window it wouldnt have been a big deal if it hadnt continued for so long after  minutes of sitting in this line fighting the urge to just drive off and watching the multiple levels of poor service we finally got our snack and the freaking fries were cold i should have taken  minutes to read the reviews before i went here and it would have stopped me from ever going you would think after all that time at least the food would be hot ha just do yourself a favor and find another mcds to visit truly a disappointing stop ,0
this mcdonalds truly is the worst they are always extremely slow and understaffed many of the workers her are rude and obviously dont want to be there my food comes out decent but they are always out of something everytime i go i probably will never come to this location again,1
the evening manager here is very nice and has a great attitude i went inside of this mcdonalds one afternoon when the drive through was backed up and the manager helped me immediately she was the only person who actually looked like she was happy to help customers which made me very comfortable it looked like she even gave me a little extra fries,0
good job guys love the friendly staff î¾dt hoppingnot sure what they are experiencing but one of the bet mcd in area î¾so much better than before î¾love the christian music guys,0
worst drove thru ever   was car  sitting in a dual drive thru for  minutes and not  car had moved i park and go inside the manager waits on me and i said that the drive thru has not moved she says  yeah our drive thru system has gone done i said  it would be nice if someone would walk out there and tell everyone and post a sign she walks away to fill my order only to leave one of her long bleached hairs in between my  frozen strawberry lemonades,1
im not ashamed to admit that i frequent this mcdonalds at least twice a week î¾need a snack after pumping gas î¾need coffee before chocolatte is open or after chocolatte is closed î¾need nightafterdrinking breakfast î¾yes please on all counts   havent found this mcdonalds to be particularly slow  t is a bit sketch by decatur standards although its north decatur and not decatur proper î¾often at night there are folks who look homeless here though only one one occasion has anything particularly creepydisturbing happened regarding said demographic of patron î¾otherwise its lots of emory students and hospital workers and high school students from druid hills high   like that the workers seem to have a good camaraderie with each other   also like that folks remember my standard order and can associate my voice with my order when i go through the drive thru,0
this is the worst mcdonalds i have ever visited î¾we sat at the drivethru window forever watching the employees goof off î¾the fish sandwich was edible in a square processed fish round bun too much tartar sauce sort of way î¾the french fries were horrible î¾they were not edible î¾they were stale and greasyjust because someone is holding a broom does not mean that they are sweeping î¾the broom is a prop to make people think they are working while they are socializing with coworkers î¾they will look at you occasionally while they continue to goof off î¾the employees seem to go out of their way to prove that you arent worth their time î¾this mcdonalds really sucks,1
the staff is really nice but kind of slow at this location   asked what type of sauce they had and the cashier looked at me like she saw a ghost   am not that pale î¾all i wanted well not really were some chicken nuggets to feed to my starving kids  f i had passed somewhere else with a drive thru i would have gone there but this was my only option î¾when i pulled up to get my  count i was handed a small bag with a small fry   asked the guy why he was handing it to me and he said because this is what you ordered î¾really   showed him my receipt and he said well whos fries are these theni finally got the nasty tasting nuggets and some high fructose corn syrup aka dipping sauce and was on my way   think we will stick to the meatless cheeseburgers next time,0
oh my goodness i should have read the reviews first but this mcdonald is on my way so i stopped by this is by far the dirtiest mcdonald ive seen in a long time staff is unfriendly and obviously so bored with their job definitely not even place for a quick meal,1
